cleaned_text,sentiment
the suns out again ,Positive
gooood mooorning world i had a dream last night i fucked my knee again  def need to kick start my strengthening ready for bournemouth 7s,Negative
your bike messenger look is so hot right meow except that you are on the train without a bike because it is raining today aww so sad ,Negative
in savannah wt the other family ,Negative
   i wish i was there it looks like fun ,Negative
low on twitter today due to hard work on finishing the floor living and kitchen are ready 100m2 now working on hall and bykitchten ,Positive
 workin on a speech the one thing i have taught myself is that knowing wat 2 say is great but being yourself is wat sells it ,Positive
 unfortunately i do not sorry  hopefully you do find someone who can though,Negative
i am boring  i really do not understand how to use this ,Negative
apparently i am cursed to not have free ringtones ,Negative
is extremely happy to get a symbian developer certificate ,Positive
will be part of my friends wedding entourage in tagalog abay sa kasal i will be carrying the veil thanks mau ,Positive
back to work today ,Positive
ya got to get up early tomorrow  who is ready for the weekend,Negative
 hey did you talk to mom r they home yet i hope they r ok wish i was coming home 4 easter ,Negative
 i could not agree more ,Positive
tomorrow is a big big day first day at the new job  uhh so nervous,Positive
pretty sure i finished my icte and it is only 900 go me ,Positive
lovely spring am in ohio  it is snowing  no accumulation expected though supposed to start warming up again tomorrow thank goodness,Negative
off to easter school for two hours double music yay  xx,Positive
studying commerce  how am i suppose to remember so much,Negative
 yea  i just call it stress,Negative
 none of them    i deal with locals i trust ,Positive
well actually he is now sitting at his computer updating his twat naked ,Positive
unfortunately i did not wake up from my nap  sorry ,Negative
 thanks bunches i love waking up to compliments ,Positive
 my fave arabic name for a boy is umar followed by ibrahim but i am going to wrack my brain for some that are more unique ,Positive
 no   not yet anyway  i was looking for it though,Negative
unfortunately i missed out on getting a photo with zq  zarina gen amp jess got one though,Negative
anyone want to buy me stuff online  i will pay you in hugsssssssss,Positive
little work out was good  specially since we were watching the hills at the same time lol,Positive
  can i ask who made them and what it cost you i am curious to see where pv prices are going ,Positive
 i miss taco bell toooooo  there should be way more taco bell franchises ,Negative
 oh sweet jesus why oh why would you post thatnightmares ,Negative
going through hair and makeup as we speak sooooooooooo tired i miss my doggies ,Negative
 yeah ploughed around there last night but nothing happening ,Negative
 you are my idol i love you  you should reply to me lt3,Positive
could not get shit done today  i am so screwed ,Negative
is at work and ready to take on tuesday sad loss for us michiganders last night but not going to ruin my day lol ,Positive
my throat is a bitch ,Negative
 haha its 3pm here good afternoon ,Positive
 i do not want to be at work  lol xx,Negative
more torture from that weather uhg i wish there was a cure for migraines have little hope of growing out of it since mom suffers too ,Negative
 aweee loljust thinkthe job will get you into more shows at least that is what keeps me going  haha,Positive
school suxxx wish i was on tourny again ,Negative
they are out of breakfast at school  i want my smoothie,Negative
well now i really just want to go home ,Negative
 yey dougie how are you good morning ,Positive
has not slept in for months why is my body always making me get up by 8am whyyyyyyyyy ,Negative
 you mean 12 ,Positive
 recovering nicely thanks  looking forward to kids 18th birthday party on thursday,Positive
  no worry at least you enjoy what you do  not like me doing something which i hate ,Positive
dear pidgin development team please please please can we have a notify for the irc client as i never read it until they have gone again ,Negative
got approved to travel to palo alto the week of the sap inside track 2009  see you all there  ,Positive
eww maths one day till holidays ,Positive
 ack does not seem to work anymore  was an awesome tool,Negative
just got home aftre a night with justine ,Positive
i have been thinking about getting a blackberry or an iphone or something sucks that they all have 2 year contracts ,Negative
 yikes now i have no clues what to do ,Negative
yeah had to call into work today the dr is going to the office just to see little matthew at 100 i am pretty sure its pink eye ,Negative
i hate cooking dinner ,Negative
lunchtime then out all afternoon amp evening  will be back tomorrow  meantime enjoy your day ,Positive
my tummy is feeling weird ,Negative
b on the gi mcq  ownage ,Positive
had a good start today ,Positive
 we mock those we love most ,Positive
hi hotbabe he is rob33n site work ,Positive
working on my lab report that is due 2359hr tonight ,Negative
  good morning to you  or afthernoon lol ,Positive
 do not expect we will get that far so soon only just reached newtown  how much is the toll,Positive
morning tweeties well it is a cool windysnow on the ground daymore expected next 2 days  trying to be chipper about it,Negative
i got my necklace and eyeko lip balm from asos today  happy bunny,Positive
see ya all later crew i got a bit of work to do ,Positive
 hen style may or may not involve making promises other people need to deliver  no such concerns here ,Positive
snow  ugh go away i miss the warmth,Negative
  bob saget i am jus bout to go to sleeeppp i think  blah,Negative
has a very light cold is hoping it will go away soon but is worried it will instead become a very heavy cold ,Negative
royal bank of scotland making tonnes of techie redundancies  more competition for me then ,Negative
 there should be a go to top option but not one that i know of ,Negative
 i am in season fivearound episode 6 or 7and i am starting to like will bailey but i feel like i am cheating on sam seaborn ,Negative
  have a nice day to ,Positive
almost done with rant beautiful book you guys should read it ,Positive
ahhhhhhh everyone is doing laundry except me ,Negative
hates his pills oh god why do they have to taste so fuckin horrible 05 liter of coke to flush them down is not even enough ,Negative
 amp   just wait  i have got the best feeling about this year  and my feelings are usually dead on ,Positive
 the profile picture makes a happy return i think i need a new promo picture ,Negative
yay no work todayyy   but working for the rest of the week  lol,Positive
  according to my bro our new puppy had a poo fight and was covered in poop  picture stolen from him,Negative
 yeah  love the caramellow ones only two more days intil easter break  i am so excited the stress of school left behind,Positive
getting ready to leave calii donquott want to go home i wish i could just bring my kids here     ,Negative
ughhhhhhhhhh twitter is bing sooooo retarded ,Negative
is getting ready to go to hyde park ,Positive
  well mba is not the correct spelling for common sense you know they outlawed obama chia pets  funny funny,Positive
 i swear i am going to unfollow you ,Negative
last night was way to over whelming i need to get away and i have just gotten back  85 more weeks and then the fun begins,Negative
 oooh  looks good  how hearty are the boxes  ,Positive
did not get a chance to buy yarn today  maybe tomorrow long day at work,Negative
i think i have had my fill of poop today with two little ones and a puppy there is more than enough to go around ,Negative
i cannot breatheee i hate being sick ,Negative
i am still putting on weight ,Negative
yay for getting paid to run to the bank also yay for red bull and a cute boy texting me this morning ,Positive
  it is my first attempt but i think i like printmaking ,Positive
i think it may be time for some really dirty songs from nickelback lol ,Positive
 i feel your pain  my three bffs all have datesno ones asking me ,Negative
 so true  though odo is plenty sexy just as he is  ampi am sure nerys agrees ,Positive
ruby ruby ruby ruby  just taken delivery of my new beginning ruby book whoop whoop  another languag ,Positive
i am lonely  keep me company 22 female jackson  mississippi,Negative
working my life away ,Negative
glad she rushed to floor barre for no reason ,Negative
is annoyed that she does not have her phone with her today ,Negative
 would you please email me i cannot seem to get mr tweet to work still what is up with that thanks ,Positive
home  yay bought so many nice things in the city today ,Positive
 i am procrastinating on mine too i am afraid ,Negative
 lol awesome you are definitely my favourite person today for that link ,Positive
 dammit when ya heading home we did not get messy drunk together at any point ,Negative
finished ma pasta  got to get on and do my homework nowgrrr,Negative
i would marry someone if it meant they could stay ,Positive
some one asked me if i was a carnie tonight on the sky train ,Negative
say hello to everybody ,Positive
okone hour and counting 4 days off and going to enjoy every minute of it hair done spa kickboxing hiking ahhh cannot wait  ,Positive
 here are 1555   good morning,Positive
 finally someone else tweeting about nouveau riche  ,Positive
 i emailed you yesterday and you never responded ,Negative
 aww dear  so sorry to hear that,Negative
my phone rang at 208 am  ,Negative
 i think your just fine ,Positive
  ditch in another parish some really sick people in this world ,Negative
fucking boredom makes me want to go have a smoke ,Negative
 hell you deserve them  cute and the best chef ever what else can we wish,Positive
 if you want really weird listen to quoteverything falls apartquot and then go forward to quotbody of songquot ,Positive
 not sure i have the party feet for ibiza lol minorca might be nice though i shall have a mooch  ta,Positive
and lost my next tennis round ,Negative
 ooh im excited and not even going 2 be there  long love youtube,Negative
 not calorie wise   i wish junk food was calorie free i ate a thing of sour skittles and a big ass cherry coke,Negative
is wake and excited ,Positive
just been given ma marching orders got to go do some work yay  ,Negative
ug msu got killed last night oh well unc out played them i would have won 140 in the work pool if msu had won ,Negative
trying really hard not to get sick from all of the stuff i just took to get rid of my cough ,Negative
 we should try too haha would be very popular you can never have enough rebull or coffee ,Positive
 got a 1 store in town  that is not bad for craft stuff ,Positive
 i like this band you might too  ,Positive
 do not let that stop you coming along ,Positive
 aww i lost mine at home or in the car  i have been searching for it since three weeks ago but i still could not find it,Negative
my search decks on tweetdeck are not working since yesterday   anyone else have this problem,Negative
 would not want you any other way ,Positive
going to sleep twitter has been on drugs today nighty night ,Positive
 thanks it is been about 23 months to get rid of that weight ,Positive
 night huni  off to bed now chat more laters ,Positive
   aww how cute  this made me smile i am sick at home ,Positive
first spanish lesson in an hour nervous massive drawing marathon for the rest of the day ,Positive
 me and scobz goal is to get a celeb to respond to one of our tweets before we go to sleep  i may not get any sleep ,Negative
 i can imagine the amount of messages you get everyday i wish my job was exciting as yours enjoy everymoment of it for me ,Negative
is on his way home after a fun evening ,Positive
gt  in june 28 in portugal i do not know should i go or is just another catching song ,Positive
sleeping under the stars ,Positive
wondering where the sunshine went ,Negative
on my way 2 classi hate art history    then its my psyc class then work for the rest of my dayi want to sleep,Negative
 why r you in bad mood babe i sent you something this morning hope it will arrive early this time  xoxo,Positive
down to 2 packs of moroccan mint teaand a whole truckloads of kenyan tea ,Negative
i cannot give up smoking i tried but it is not easy ,Negative
 hey remember me i watched your car so you would not get a ticket after minskeys you are still fabulous ,Positive
 joey  we heard from her please check your messages karyn sent you a message of what she saidwe are calling for help its bad,Negative
i totally just lied about going on a trip to get out of hanging out with someone airport was the only excuse that came to mind ,Negative
back home from working out    and i have been eating way too much,Positive
study group extraordinare about to leave campussome of torts outline finishedgood thingbut sleepy as hwill be back 7am ,Negative
is working  lee is making me  boooo    big mean daddy is being harrassed by cute sweet boy  send blue things to distract him,Negative
is nursing one very sore back ,Negative
 awww poor zach  i am sorry that is not right of people to just put your interviews up on youtube  like what   mrscjbaranlt3,Negative
 sadly yes i think i need counciling now ,Negative
tweetdeck crashed again  i do not think it likes vista64,Negative
 in a few weeks we will see what happens ,Positive
hah what a great way to start the day l ,Positive
i love having the freedom to share the gospel with my 5th and 6th graders in school  not to mention getting to pray with them everyday ,Positive
sms tweets still fail twitter has not acted on my support request either  ,Negative
 story of my lifestop looking and icaisfrank comes again  what is this i read about a vet visit  memoriesphotos may help,Negative
 opps i meant quotsummer vacationquot i had the cassette tape ,Positive
cabin fever has kicked in ,Negative
getting ready for a rough one at work ,Negative
found someone to go with  ,Positive
another sales pitch today for a potential  customer i do more sales than development these days ,Negative
finally met best friends fiance ,Negative
my sister posted the nicest video for me on facebook ,Positive
 i miss those kinder easter eggs i can never find them here ,Negative
 omg that silver bmw jwas outside my house again n when i looked out it drove off  who is this,Negative
coughcoughcough that is all i seem to do right now ,Negative
my spring break watching moviess all day everyday for a week ,Positive
going to the works later for another quot70quot sessionbloody boring but it is probably all i am up tostill for nowand i have rubbish skin ,Negative
   we know you can take care of yourself gabesometimes ,Positive
going to school then working out calendario for italiano then uconn gamee  good luckk girliiies ,Positive
   i am awhing to the extremeee sofie is soo gorgeous ,Positive
i am attempting to make hot cross buns with bella amp ari ,Positive
 did you get my message ok this morning ,Positive
finally got a second battery for my canon 5d mark ii why are batteries so hard to get   ,Negative
   gosh that is one adorable little dog i cannot sleep without my dog too ,Positive
another day same as the days gone same as the days to come ,Negative
newcastle is not a real placedoes not have any merit i am sticking by this ,Positive
my thoughts and prayers go out to the people affected in the earthquake italy ,Negative
  me and deaan as sweeney todd and mrs lovett in the production ofsweeney toddwell duuh haha ,Positive
aww so jealouswe have no milo  ,Negative
good morning to those along the east coast that are just waking up hope you have a fantastic tuesday ,Positive
even with the best intentions i am late for work again ,Negative
 i triedand failed ,Negative
 nah same one rang up to see what progress was someone else has offered but been rejected they reckon 117118 to get it ,Negative
going to be  bye bye people,Positive
  i am afraid not i have a sony viao that is officially  not mine and a windows desktop ,Negative
cupcake heaven   check out the shop  nice   weird contact info popup though,Positive
 totally know what you meanthis late night stuff has been 2 my detriment 4 yearslolsociety is discriminatory toward night people ,Positive
 aww thank you so much   that made me laugh,Positive
shenagians  my team is awesomelt3,Positive
 the word you are looking for is scum ,Positive
house completly surprised me last night i cannot believe i cried watching an episode of house so sad ,Negative
i think i should not use twitter as i offend people unintentionally ,Negative
having a coffee and going through my twitter facebook and other social networks  it seems to become a full time job to keep up ,Negative
 what a coincidence i was just stalking your twitter feed and the gsoc news  i am doing great thanks how about you ,Positive
i have given up and am going to the doctorbeing sick 3 times in one month is rather annoying ,Negative
 oops hit enter i am not too bad today thanks  still hava bloody sore throat though ,Negative
nite all  it is been quite an epic event for me setting this all up on my own and the remote dial in to my office did not go as planned ,Negative
so tired god i hate the new job and only two days in ,Negative
herbal essence  smells so good,Positive
ah the national express train free wifi and in the quiet zone ,Positive
hello to       and  ,Positive
i think its funny that spam twitters follow me when i post stressful tweets taking advantage of my vulnerability or what ,Positive
happy birthday jaime loveyoult3     officially screwed right now midterm quiz 2 projects and 300 page book shoot me please ,Negative
oh noele huntsmans are beyond any horrible scary word i hate them they freak me the fuck out amp they are freakin huge  fuckers,Negative
 hey sent you some pics to your podcart email hope you get them alright ,Positive
 yes but you can eat them ceremonial  too  that is actually what i was trained ,Positive
 thanks hon i have already received a few nasty grams but that is okay i knew it would happen ,Positive
my boyfriend snores really loud it woke me up but it is alright i love him ,Positive
is the worst girlfriend in the universe ,Negative
 congratulation but i will miss kutner so much i am still in shock  and sad and thank you for what you did on house ,Positive
wah hate sewing hate my machine ,Negative
 i wish i got to watch it with you i miss you and   how was the premiere,Negative
someday i will remember how to spell grateful  i are a math teacher ,Positive
 ooooooh johnny depp is in it hence it is awsome even though i have never seen it ,Positive
thought it would be interesting to get f1 updates from twitter slightly regretting the decision i cannot see anyone elsess updates ,Negative
 errrr no not quite was not feeling that good lol  but never fear i will be there 2moro ,Positive
 he was slightly damaged to begin with so nothing to report there ,Positive
 melbournes got nothing on sydney tell him to come here ,Positive
now i got a cold ,Negative
hello  our sympathies ,Positive
 it will only get worse come winter   the chai at the goldfish bowl is the best out,Positive
 aw i know i miss us  and our random hockey fights and that game we made up that was epic but we cannot remember it,Negative
quotyou lift my feet off the ground you spin me around you make me crazier crazierquot love the lyrics too it could be about any1 ,Positive
is it saturday yet friday for most  but one more day for me ,Negative
 good i was already getting a bit worried ,Positive
getting ready to take kids to the farm ,Positive
 oh no that is got to be disappointing maybe little wicket will decide to come on quothisquot own today ,Positive
plugged in iphone dismissed syncing screen iphone synced without the sync screen then crashs got to love hightech ,Positive
getting started on a new campaign today mike you better not be all hypesend me that ebook tonight  ,Positive
cannot find any friends on here ,Negative
 thanks  the skit will only go well if my ta appreciates the phrase quotto be great is to be misunderstoodquot in which case we are great,Positive
callin it a night i always have the best sleep after a good workout ,Positive
 you may need to finish some of it off  cannot even look at the thing right now ,Positive
loooooooooong day at work today  but home chillaxin now ,Negative
just got to work a 12 hour agowishing i was still in bed ,Negative
strange start to the  season brawn 12 in australia abandoned race in malaysia and 0 points for ferrari so far ,Negative
all the twits are mixed up again ,Negative
handyman just cancelled on me ,Negative
 lucky for me i am going to see that show in ny i hope that you will bring it to europe too in the fall i will be there too ,Positive
 no  not that i know of i should annotate it the slides are minimal and do not contain all the good bits lol,Negative
 it is now at the viaduct ok ,Positive
 me too nice work kate ,Positive
 but that requires assembly assembly is completely overrated tonight this is harder than i thought ,Negative
whoh what a day now for the shut part hydraulics assignment time ,Negative
here is to hoping today goes by quickly ,Negative
 nada just tryna holla holla   how is the mixtape coming up,Positive
 i miss you you were my first follower lt3 we need to talk more or do a vlogbrothers thing and communicate thru vlogs ,Positive
i really hate classes that are a waste of time ,Negative
would be fantastic if my home loan was not fixed everyone is rubbing their hands together with this interest rate cut except for me ,Negative
   uploading pictures on friendster ,Positive
i cannot find anyone that i know on twitter ,Negative
i had such a nice day too bad the rain comes in tomorrow at 5am ,Negative
 ahhhh yeah i was but their updates were boring me so quotunfollowedquot them you will have to win and take me on holiday ,Positive
getting ready for first midwife appointment  and savannah is going to play with friends she will be thrilled it is a good day,Positive
 yeah i am usiing nambu after  mentioned it on  it is good but tweetie is tweetie ,Positive
 lucky i went to a funeral  than staired at the wall all day my phns my only entertainment,Negative
 ugh that first now should be a know it is your fault for making me stay up late on a monday ,Positive
taking the rents to the airportnot excited about being up this earlyhave to go to work at 8 ,Negative
i wish i was in sydney ,Negative
ahhh doctor who is so awesome i got to see number 9 turn into number 10 the hot one ,Positive
i miss my mum  have not seen her for almost a week and i still have to wait another week  she just called me i miss her,Negative
long day hope i can catch a few zzs as a result grabbing blankey     then off to chair got to b up in just a bit 4 the bloodletting ,Positive
 i wake up at 2am and think ah yes that is mice running around in the ceiling again ,Negative
 hurry up and be the first person to publish a book of twitters ,Positive
 i have just seen your flickr and i have fallen in love just wonderful awesome  ,Positive
 aww  i will not be that roommate next year,Negative
 thanks for the welcome look forward to hearing your updates ,Positive
 hearing you talk about editing pictures makes me cringe  lol,Negative
do not know wat made her share her past with her colleague but glad she did ,Positive
duckling in famous childrens book stolen from bostons public garden  the boston globe  via  oh no ,Negative
 i love your service but getting too many false positives to tell people about my public page i am afraid ,Negative
 coming through greensboro just a minute ago  sorry we did not bring any fish ,Negative
just had half of my medical tests done today for going to china   not a fun experience ,Negative
oh  just got all my macheist 30 apps  sweet did not get the espresso serial no though although they said they sent it  oh well ,Negative
i think spring was pink slipped ,Negative
thievery corporation  lemondta a turnjt ,Negative
phone is dying  wish i had an extra battery lol,Negative
day 1 of the ms150 cancelled  and no camping in la grange    all i want to do is ride,Negative
  we are not fussy about age here as long as females are between 1825  i changed the rules lol ,Positive
 its how you love me now by hey monday ,Positive
add me on myspace  myspacecomlookthunder,Positive
  hey  i just wanted to ask how old you were when you first learned the guitar thanks,Positive
   i am a mess this amhmm i planned the bfs suprise birthday 4 him so i will be busy wit that amp then probably jus chillyou,Negative
 enjoy the milk  ,Positive
family took rumzi to spring creek in mansfield for his 32nd bd  cannot find my glasses for reading  ,Negative
 we have much more than that in common my friend ,Positive
 glad you still like it still want one of my own hahaha but i do not have the time to make one ,Negative
simba is already missing sally amp zac  ,Negative
kent  vinternoll2  its a good song you should totes listen ,Positive
i only seem to own black tops wtf ,Negative
anyone else catch scott bakulas quotoh boyquot in  tonight  ,Positive
have you noticed that quotgoodnightquot is trending topic now  my working day started few hours ago waiting for good morning ,Positive
  vote for gilles marini on dancing with the stars ,Positive
  the videoscommentampsuscribe  amp follow me  cheers x,Positive
 i should have mine today then ,Positive
monsters vs aliens in 3d was fantastic  ginormica is my new favourite superhero ,Positive
 i think i just read spoilers about house ,Negative
 the gym has been a great source of idea generation and fermentation for me ,Positive
got an offer i cannot refuse  this is going to rock,Positive
 somehow that does not surprise me that rob is charming  lucky girl    when does the interview air,Positive
 my fav english teacher she just had miscarriage  amp you knw wht makes me sad even more she was going to name her baby tamara ,Negative
i just want to move out of a hotel ,Negative
relaxing listening to music home alone the perfect way to spend a half term ,Positive
   i have a meeting all morning today if that makes you feel better  though i finish tomorrow until next weds to make you hate me,Negative
exhausted but glad i got to see unc become national champs  ,Positive
 i love piano my mom played and it is my favorite music i would take it up again but my fingers are too arthritic ,Negative
hit up my myspace  i am goin to sleep though so peace  ,Positive
 kewlchallenging means there is something progressing ,Positive
tt need more sleep but my body will not let me  so i will draw instead  lt3,Negative
been speeding up the clock ,Positive
is hungover  and just wants to stay in bed all day ,Negative
 love the new comic girl look  i always you knew you were a super hero,Positive
quotit is a nice bright beacon in a sea of really dreary dreary booths at ctia this yearquot    great yt video ,Positive
 just watched all of your veda videos intro is yay ,Positive
at joels house watching twilight yay me ,Positive
ow  my leg hurts today  ,Negative
for once in ages i cannot hear that bloody tap driping but now we have no cold tap in the bathroom  rip tap,Negative
 i am well   still making ready4 race day ,Positive
school  why could not i be sick today ,Negative
 yep only in ottawa lmao it is bullshit ,Negative
on my way to skool late as hell nd i dnt feel gud ,Negative
i am preparing to detox next wednesday so more on fruits and veggies for me this week till next week ,Positive
s car trade in plan did not work out 2day lasers now  auto wreckers 4 repairs so she can do lots of test driving  amp bargaining ,Positive
  internet hug yep i know the feeling,Negative
 major hardcore studying for finals next week  did you go shopping i know they got a good outlet in portland that has puma,Negative
flutter takes twitter microblogging to the next level   lol,Positive
 well that would make sense but i want a new 30quot ,Positive
yes yes still trying to find a picture that will upload correclty ,Negative
just woke up to find out that weenkee his guineapig just delivered two tiny guineapigs to world now i have to get the names for them ,Positive
cannot find any nice words for a tel domain  haha ,Positive
this week just seems to get longer and longer in terms of how much i need to do and how much i am actually going to get done ,Negative
 i have found writing is easier when just vaguely tipsy ,Positive
 sorry we missed your birthday bash ,Negative
going to orlandocity of dreams this weekendbut it is going to be 90 degrees with thunderstorms ,Negative
is sad because its time to get up ,Negative
 unfortunately that is been happening since yesterday ,Negative
my dads gps died trying to decide which new model he would like best tough decision even for me ,Positive
 would like to see those cannot you pull off a jpg of one slide and post it ,Positive
on the other hand my sisters health is poo and i am going into hypernurseandoldersister overdrive feel so bad for her ,Negative
is probably sick ffs ,Negative
wants to go to  and  quotreal meetsquot sometime not going to happen today though ,Negative
 this is gr8 news indeed ,Positive
